SGB	ann	leave_mean	unleave_mean	p	type	FC	group
T2108173937_concoct_bins_bin.34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A bennonis	9.2e-07	2.16e-07	3.20546176490432	C	2.09060254878091	leave
T2108174023_concoct_bins_bin.43	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1.48e-07	1.78e-08	3.20546176490432	C	3.05564802954991	leave
T2108174013_metabat2_bins_bin.57	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp900541695	6.45e-07	2.84e-08	3.19701977745618	D	4.5053363256933	leave
T2108173920_concoct_bins_bin.167		3.54e-07	5.8e-07	3.15654483533467	D	-0.712303539931937	pass
T2108173920_concoct_bins_bin.176	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	2.01e-06	7.43e-08	3.15654483533467	D	4.75768948041506	leave
T2108174096_metabat2_bins_bin.73	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__	6.34e-07	2.53e-07	3.15654483533467	D	1.3253454554451	leave
1111525849742850_bin.16	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae	3.86e-06	2.49e-08	3.14289979258978	D	7.27631129497472	leave
T2108173931_concoct_bins_bin.57		6.15e-07	4.81e-07	3.13728081212253	C	0.35454951645656	pass
T2108173990_metabat2_bins_bin.49	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Ornithinibacter;s__	4.65e-07	3.16e-08	3.13728081212253	C	3.87923425270565	leave
1111525849755503_bin.23	d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__BA12;g__BA12;s__	5.83e-08	1.51e-08	3.12949718985534	D	1.94894733387542	leave
T2109199175_concoct_bins_bin.34		4.38e-07	2.31e-07	3.11633402322849	D	0.923038018185116	pass
SMGC_470		2.65e-08	1.6e-08	3.11619382414119	D	0.727920454563199	pass
T2108173920_concoct_bins_bin.176	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	2.08e-07	6.38e-08	3.11021887694883	C	1.70495519926359	leave
