name	A_mean	B_mean	C_mean	Dmean	p_value	q_value
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__	4.26E-07	4.33E-07	9.10E-07	4.48E-07	1.07E-18	1.79E-15
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia aeria	2.42E-07	1.78E-07	1.23E-06	3.81E-07	4.76E-15	7.99E-12
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia amarae	2.32E-07	6.00E-07	4.65E-07	8.73E-07	2.04E-08	3.42E-05
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa	7.10E-07	3.62E-07	2.01E-06	7.75E-07	5.31E-15	8.92E-12
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia kristinae	4.75E-07	9.29E-08	3.06E-07	3.05E-07	2.17E-06	0.003654339
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa	8.53E-08	1.13E-07	6.02E-07	3.24E-07	3.37E-18	5.66E-15
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa_B	2.68E-07	3.23E-07	1.15E-06	5.67E-07	2.37E-16	3.98E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia sp001808955	7.22E-08	9.68E-08	5.99E-07	3.08E-07	1.97E-21	3.31E-18
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia sp002418375	6.76E-07	1.95E-07	2.07E-06	1.56E-06	7.09E-23	1.19E-19
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia sp024294905	2.51E-08	1.23E-08	1.29E-07	9.26E-08	3.04E-09	5.11E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia terrae	1.60E-07	1.18E-07	7.26E-06	1.57E-07	1.98E-07	0.000333363
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	1.17E-05	2.59E-06	3.85E-05	8.99E-05	2.10E-34	3.53E-31
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium accolens	2.73E-07	1.62E-07	3.04E-07	2.49E-07	3.37E-06	0.005664247
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium afermentans	2.08E-06	5.86E-07	7.30E-06	1.08E-05	3.66E-24	6.15E-21
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium amycolatum_A	1.35E-07	2.87E-08	4.88E-07	2.11E-06	5.05E-12	8.50E-09
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium appendicis	1.66E-07	2.95E-08	6.20E-07	1.04E-06	1.39E-14	2.33E-11
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium aurimucosum	1.38E-08	6.35E-09	7.64E-07	7.23E-06	2.66E-09	4.48E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium aurimucosum_E	2.52E-06	8.36E-07	1.16E-05	2.27E-05	1.90E-35	3.20E-32
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium casei	9.39E-08	3.20E-08	2.39E-07	1.56E-07	1.56E-09	2.61E-06
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium dentalis	3.81E-07	1.08E-07	6.30E-07	4.02E-07	7.20E-17	1.21E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium doosanense	5.94E-07	1.80E-07	6.80E-07	8.69E-07	5.83E-16	9.80E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium durum	3.86E-07	2.41E-07	9.77E-07	4.31E-07	2.92E-10	4.92E-07
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium frankenforstense	1.00E-08	1.92E-09	4.48E-08	1.83E-07	3.47E-10	5.83E-07
