name	A_mean	B_mean	C_mean	Dmean	p_value	q_value
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria flavescens_B	2.93E-07	8.88E-07	1.63E-06	9.12E-07	6.71E-13	1.13E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria mucosa_A	1.39E-07	7.77E-08	4.82E-07	2.01E-07	1.85E-07	0.000311075
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sicca	8.79E-08	5.68E-08	1.18E-07	1.36E-07	7.79E-09	1.31E-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sicca_A	1.08E-07	1.16E-07	1.51E-07	1.05E-07	3.10E-09	5.21E-06
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sp000186165	6.50E-08	6.91E-08	2.56E-07	2.19E-07	6.67E-12	1.12E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sp000227275	1.23E-07	9.68E-08	1.74E-07	1.54E-07	8.15E-11	1.37E-07
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sp001809325	1.00E-07	3.74E-07	1.67E-07	1.22E-07	6.05E-12	1.02E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria sp001815675	9.08E-08	7.24E-08	1.38E-07	1.13E-07	1.12E-09	1.88E-06
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria subflava	2.56E-07	2.19E-07	8.58E-07	3.65E-07	1.91E-12	3.21E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria subflava_A	4.39E-08	6.64E-08	2.37E-07	1.23E-07	1.76E-12	2.96E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria subflava_D	3.37E-08	3.18E-08	1.10E-07	3.30E-08	1.87E-07	0.00031507
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__	9.01E-09	8.20E-10	3.81E-08	2.47E-08	2.24E-17	3.76E-14
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella aerogenes	7.19E-09	3.55E-08	9.93E-08	4.19E-08	2.89E-05	0.048585282
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella grimontii	2.23E-08	1.28E-08	2.08E-07	2.20E-07	1.38E-10	2.32E-07
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella michiganensis	4.94E-09	3.70E-09	4.33E-08	8.55E-09	1.29E-13	2.17E-10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella ornithinolytica	1.03E-07	5.93E-09	1.91E-07	1.59E-08	2.81E-14	4.72E-11
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella oxytoca	1.58E-09	8.55E-10	7.78E-09	1.81E-09	7.44E-13	1.25E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	3.17E-08	1.04E-08	1.67E-07	2.84E-08	1.37E-12	2.31E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella quasipneumoniae	1.97E-09	2.93E-09	4.83E-09	2.30E-09	6.39E-08	0.000107375
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella terrigena	2.17E-08	1.56E-08	3.75E-07	6.82E-08	4.67E-09	7.85E-06
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola	5.66E-09	2.00E-09	1.57E-08	8.30E-09	4.09E-18	6.88E-15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__	1.03E-09	0	3.65E-08	4.41E-08	1.87E-06	0.003148373
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea agglomerans	1.67E-06	4.45E-07	1.66E-06	5.79E-07	9.38E-13	1.58E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea brenneri	1.40E-07	6.30E-08	4.92E-07	9.93E-08	5.72E-13	9.62E-10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea dispersa	2.54E-09	1.47E-09	9.18E-09	2.90E-08	3.94E-15	6.62E-12
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea eucrina	2.10E-08	2.04E-08	8.95E-08	5.76E-08	6.84E-12	1.15E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea septica	4.84E-09	9.75E-09	1.22E-07	3.82E-08	5.51E-06	0.009258526
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea sp003512445	4.49E-09	9.13E-09	4.75E-08	2.87E-08	1.10E-07	0.000184846
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea vagans	6.75E-08	9.08E-08	3.11E-07	8.19E-07	1.95E-13	3.27E-10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	2.21E-06	4.15E-07	4.20E-06	4.53E-06	2.89E-21	4.86E-18
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter albensis	2.35E-07	1.65E-08	2.86E-07	1.32E-07	1.41E-23	2.36E-20
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	1.88E-08	1.10E-08	1.76E-07	5.19E-08	6.93E-15	1.17E-11
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter bereziniae	1.08E-09	7.47E-10	8.50E-09	6.59E-09	1.29E-09	2.17E-06
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter fasciculus	6.13E-07	2.75E-07	4.15E-06	2.24E-06	6.53E-24	1.10E-20
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter guillouiae	7.80E-08	1.97E-08	2.23E-07	1.57E-07	6.75E-24	1.14E-20
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	1.78E-05	3.84E-06	3.67E-05	3.20E-05	1.97E-20	3.31E-17
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter junii	7.20E-07	1.59E-07	8.26E-07	1.75E-06	2.30E-22	3.86E-19
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii	1.59E-07	6.49E-08	1.16E-06	5.15E-07	9.93E-23	1.67E-19
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter lwoffii_F	1.96E-07	6.78E-08	1.07E-06	5.56E-07	4.08E-24	6.87E-21
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter nosocomialis	2.37E-09	2.12E-09	2.16E-08	6.23E-09	6.09E-12	1.02E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter parvus	6.41E-07	1.61E-07	2.15E-06	2.17E-06	3.98E-19	6.70E-16
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pittii	4.83E-09	1.83E-08	4.54E-08	2.62E-08	1.15E-24	1.94E-21
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter radioresistens	9.99E-09	4.39E-09	2.85E-08	2.77E-08	1.19E-08	2.00E-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter schindleri	1.73E-08	3.65E-09	1.35E-07	1.04E-07	6.54E-14	1.10E-10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter soli	1.41E-09	1.06E-09	4.89E-08	1.11E-08	8.43E-10	1.42E-06
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp000369525	2.47E-09	1.51E-09	7.04E-09	3.81E-09	1.21E-11	2.04E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp002165255	2.01E-07	2.85E-08	1.49E-07	3.40E-07	1.13E-21	1.91E-18
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter sp943914805	9.37E-09	2.01E-09	3.99E-08	9.62E-09	1.50E-09	2.53E-06
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter ursingii	2.28E-07	2.15E-08	3.06E-07	8.86E-08	2.10E-16	3.53E-13
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__	4.56E-06	2.01E-06	1.22E-05	1.21E-05	2.92E-17	4.90E-14
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__Moraxella_A atlantae	3.52E-07	2.18E-08	3.37E-07	3.78E-07	2.59E-08	4.35E-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__Moraxella_A cinereus	4.29E-06	2.11E-06	1.33E-05	1.48E-05	1.65E-17	2.78E-14
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__Moraxella_A osloensis	2.02E-05	7.67E-06	4.10E-05	3.41E-05	2.08E-10	3.50E-07
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella_A;s__Moraxella_A sp002478835	8.56E-07	3.81E-07	2.34E-06	2.07E-06	2.06E-17	3.45E-14
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__	8.18E-07	2.38E-07	1.88E-06	1.63E-06	4.55E-12	7.64E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter alimentarius_A	4.15E-08	1.40E-08	2.50E-07	1.97E-08	1.30E-06	0.002184563
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter faecalis	3.58E-07	1.78E-07	2.95E-06	1.60E-06	4.09E-14	6.87E-11
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter maritimus	5.53E-08	1.55E-08	1.77E-07	4.03E-08	1.90E-12	3.19E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sanguinis	3.76E-06	9.88E-07	1.16E-05	7.21E-06	7.98E-08	0.000134204
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	2.48E-08	6.43E-09	1.68E-08	5.77E-08	2.96E-15	4.98E-12
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_B;s__Pseudomonas_B luteola	7.39E-09	8.35E-09	6.67E-08	7.54E-08	1.25E-07	0.000209939
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_B;s__Pseudomonas_B oryzihabitans	1.25E-08	5.52E-09	1.19E-07	1.71E-07	2.74E-17	4.60E-14
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_B;s__Pseudomonas_B oryzihabitans_B	8.69E-08	1.63E-08	2.43E-07	4.37E-07	9.32E-14	1.57E-10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	4.45E-07	2.52E-07	2.13E-06	2.83E-06	3.74E-13	6.28E-10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alcaligenes	1.31E-09	0	5.78E-09	7.63E-09	1.01E-10	1.70E-07
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E asiatica	2.11E-09	9.45E-10	1.10E-08	9.03E-09	7.31E-19	1.23E-15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E canadensis	1.50E-07	1.62E-08	1.24E-07	2.88E-07	3.26E-15	5.47E-12
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E ceruminis	9.41E-10	1.63E-09	1.22E-08	3.25E-08	4.44E-08	7.46E-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E chengduensis	1.52E-08	8.00E-09	8.97E-08	4.56E-08	2.24E-06	0.003766285
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E coleopterorum	5.03E-08	2.00E-08	2.81E-07	3.96E-07	7.97E-13	1.34E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E edaphica	4.71E-09	2.53E-09	1.55E-08	1.91E-09	1.90E-12	3.20E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fulva	1.07E-08	7.33E-09	6.85E-08	2.33E-08	2.92E-10	4.92E-07
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E helleri	9.00E-09	6.62E-09	9.83E-08	2.21E-08	8.05E-06	0.013527354
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E lundensis	1.35E-08	1.03E-08	7.15E-08	1.22E-07	2.25E-11	3.78E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E oleovorans	3.12E-07	6.28E-08	9.26E-07	2.98E-07	1.94E-13	3.25E-10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E palmensis	2.94E-08	2.79E-08	6.24E-07	1.04E-07	2.14E-14	3.60E-11
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E paracarnis	3.60E-08	1.67E-08	2.12E-07	6.17E-08	1.62E-23	2.72E-20
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E putida	3.05E-08	1.25E-08	1.34E-06	2.06E-07	7.13E-19	1.20E-15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E putida_E	2.64E-10	1.40E-09	2.51E-07	9.36E-09	6.80E-07	0.001143526
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E reinekei	9.32E-09	2.41E-09	9.22E-08	9.45E-08	2.32E-08	3.90E-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sediminis	5.88E-09	1.89E-09	2.67E-08	8.89E-09	1.94E-11	3.26E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E siliginis	1.00E-07	6.38E-08	1.45E-07	9.28E-08	3.74E-19	6.28E-16
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E simiae	1.76E-07	3.14E-08	1.93E-07	4.76E-07	2.36E-16	3.96E-13
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp019747075	1.97E-08	1.41E-08	9.42E-08	1.71E-08	3.28E-09	5.51E-06
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp943914515	1.40E-09	0	6.69E-09	5.90E-09	2.49E-05	0.041862298
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_O;s__	4.30E-09	6.60E-11	8.50E-08	1.11E-08	1.21E-06	0.002031486
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__	4.84E-09	4.18E-09	6.38E-08	2.14E-08	1.04E-12	1.75E-09
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas stutzeri	2.76E-09	1.20E-09	2.54E-08	1.93E-08	1.29E-21	2.18E-18
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas stutzeri_AC	2.94E-08	4.23E-09	4.95E-08	3.26E-08	7.80E-15	1.31E-11
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas stutzeri_Q	6.99E-11	2.47E-10	1.88E-08	2.30E-08	2.62E-05	0.043964365
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas zhaodongensis	1.92E-08	6.05E-09	1.39E-07	3.33E-08	3.02E-10	5.08E-07
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__Pseudoxanthomonas kaohsiungensis	4.61E-10	2.22E-10	1.60E-07	3.13E-08	8.80E-08	0.000147865
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A mexicana	2.56E-08	1.01E-09	5.72E-08	1.22E-07	2.51E-11	4.22E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A winnipegensis	9.05E-10	9.19E-11	1.13E-08	3.14E-09	9.26E-08	0.000155592
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_B;s__Pseudoxanthomonas_B suwonensis_A	1.34E-06	2.19E-07	3.26E-07	1.88E-07	7.20E-10	1.21E-06
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__	1.34E-08	1.33E-09	9.82E-08	1.71E-08	1.06E-15	1.78E-12
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas bentonitica_A	6.34E-08	9.46E-09	8.32E-07	2.98E-07	9.16E-17	1.54E-13
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas hibiscicola	1.23E-09	5.79E-10	1.02E-08	4.17E-09	2.51E-07	0.000422481
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia	2.86E-08	6.95E-09	4.74E-08	2.42E-08	2.68E-18	4.51E-15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia_A	3.23E-08	1.56E-09	1.00E-08	5.11E-09	2.83E-11	4.76E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia_F	1.10E-09	6.48E-09	1.06E-08	3.31E-09	6.16E-07	0.001034934
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia_Q	2.04E-09	4.53E-10	8.49E-09	3.53E-09	8.60E-11	1.45E-07
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas rhizophila_A	5.39E-09	4.73E-10	2.87E-08	1.19E-08	3.31E-18	5.56E-15
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sp003484865	7.89E-08	7.72E-08	3.39E-07	7.14E-08	3.03E-15	5.10E-12
